Date,AMD,INTC,NVDA,QCOM,TSM
2024-12-09,130.8699951171875,20.809999465942383,138.77203369140625,157.2206573486328,196.42880249023438
2024-12-10,127.73999786376953,20.15999984741211,135.03306579589844,153.03436279296875,189.29827880859375
2024-12-11,130.14999389648438,20.1200008392334,139.2718963623047,156.33056640625,191.9217071533203
2024-12-12,130.60000610351562,20.780000686645508,137.30242919921875,154.77537536621094,189.42453002929688
2024-12-13,126.91000366210938,20.34000015258789,134.21328735351562,155.0590362548828,198.8532257080078
2024-12-16,126.69000244140625,20.829999923706055,131.96388244628906,154.43304443359375,200.07012939453125
2024-12-17,125.0199966430664,20.440000534057617,130.35433959960938,154.46237182617188,198.52671813964844
2024-12-18,121.41000366210938,19.299999237060547,128.874755859375,149.69903564453125,193.48092651367188
2024-12-19,118.87999725341797,19.059999465942383,130.6442413330078,147.10704040527344,192.57070922851562
2024-12-20,119.20999908447266,19.520000457763672,134.6631622314453,149.54251098632812,195.1134033203125
2024-12-23,124.5999984741211,20.200000762939453,139.63180541992188,154.77537536621094,205.15548706054688
2024-12-24,126.29000091552734,20.399999618530273,140.18165588378906,155.87088012695312,204.13644409179688
2024-12-26,125.05999755859375,20.440000534057617,139.89173889160156,155.0590362548828,200.9011993408203
2024-12-27,125.19000244140625,20.299999237060547,136.9725341796875,153.79727172851562,199.4864044189453
2024-12-30,122.44000244140625,19.81999969482422,137.452392578125,151.19552612304688,198.25958251953125
2024-12-31,120.79000091552734,20.049999237060547,134.25328063964844,150.2565460205078,195.39041137695312
2025-01-02,120.62999725341797,20.219999313354492,138.2721710205078,150.27609252929688,199.4369354248047
2025-01-03,125.37000274658203,20.559999465942383,144.4304962158203,154.3743438720703,206.39219665527344
2025-01-06,129.5500030517578,19.8700008392334,149.38912963867188,156.35012817382812,217.67098999023438
2025-01-07,127.33000183105469,20.010000228881836,140.10166931152344,157.00547790527344,209.1723175048828
2025-01-08,121.83999633789062,19.8799991607666,140.0717010498047,155.59698486328125,204.9180145263672
2025-01-10,116.04000091552734,19.149999618530273,135.8728485107422,153.54295349121094,206.1547393798828
2025-01-13,117.31999969482422,19.200000762939453,133.19357299804688,153.68968200683594,199.21926879882812
2025-01-14,116.08999633789062,19.200000762939453,131.72396850585938,156.03713989257812,199.30831909179688
2025-01-15,119.95999908447266,19.719999313354492,136.2027587890625,160.81028747558594,204.6014404296875
2025-01-16,118.44000244140625,19.670000076293945,133.53347778320312,157.89553833007812,212.50648498535156
2025-01-17,121.45999908447266,21.489999771118164,137.67234802246094,160.95700073242188,209.25148010253906
2025-01-21,122.27999877929688,21.770000457763672,140.79148864746094,163.60768127441406,216.3749237060547
2025-01-22,123.75,21.860000610351562,147.02981567382812,166.5126495361328,220.8270721435547
2025-01-23,123.04000091552734,21.56999969482422,147.17974853515625,170.5424346923828,222.23196411132812
2025-01-24,122.83999633789062,20.829999923706055,142.58099365234375,168.34170532226562,219.5211181640625
2025-01-27,115.01000213623047,20.290000915527344,118.38761901855469,167.43203735351562,190.26548767089844
2025-01-28,114.16999816894531,19.799999237060547,128.95472717285156,167.7939453125,200.24819946289062
2025-01-29,117.3499984741211,19.75,123.66617584228516,167.95046997070312,200.178955078125
2025-01-30,118.86000061035156,20.010000228881836,124.61592102050781,168.16563415527344,205.93707275390625
2025-01-31,115.94999694824219,19.43000030517578,120.03717041015625,169.1437225341797,207.09466552734375
2025-02-03,114.2699966430664,19.3799991607666,116.62810516357422,166.5126495361328,197.6758575439453
2025-02-04,119.5,19.290000915527344,118.6175537109375,169.25132751464844,201.88067626953125
2025-02-05,112.01000213623047,19.649999618530273,124.79586029052734,172.0095977783203,206.35263061523438
2025-02-06,110.16000366210938,19.3799991607666,128.64480590820312,165.61279296875,208.26210021972656
2025-02-07,107.55999755859375,19.100000381469727,129.80447387695312,164.28256225585938,203.92864990234375
2025-02-10,110.4800033569336,19.770000457763672,133.53347778320312,167.60812377929688,205.7392120361328
2025-02-11,111.0999984741211,20.969999313354492,132.76370239257812,168.22433471679688,206.52081298828125
2025-02-12,111.72000122070312,22.479999542236328,131.10414123535156,166.5615234375,204.1859130859375
2025-02-13,111.80999755859375,24.1299991607666,135.25299072265625,168.38082885742188,199.6842803955078
2025-02-14,113.0999984741211,23.600000381469727,138.81202697753906,168.4590606689453,201.73226928710938
2025-02-18,114.27999877929688,27.389999389648438,139.36187744140625,169.83819580078125,200.58460998535156
2025-02-19,114.69000244140625,25.719999313354492,139.1919403076172,171.38360595703125,198.81362915039062
2025-02-20,114.16999816894531,26.09000015258789,140.0717010498047,169.89686584472656,197.97267150878906
2025-02-21,110.83999633789062,24.8700008392334,134.3932342529297,161.80795288085938,196.1324462890625
2025-02-24,108.11000061035156,24.270000457763672,130.244384765625,157.57276916503906,189.6125030517578
2025-02-25,103.95999908447266,22.989999771118164,126.59537506103516,157.6901397705078,187.35675048828125
2025-02-26,104.73999786376953,23.520000457763672,131.24411010742188,158.55087280273438,192.55093383789062
2025-02-27,99.51000213623047,23.09000015258789,120.11714935302734,151.05857849121094,179.16476440429688
2025-02-28,99.86000061035156,23.729999542236328,124.8858413696289,153.72882080078125,178.61070251464844
2025-03-03,98.2300033569336,22.739999771118164,114.02880859375,150.2565460205078,171.131103515625
2025-03-04,100.75,21.329999923706055,115.95829010009766,151.07814025878906,178.08636474609375
2025-03-05,101.66999816894531,20.809999465942383,117.26792907714844,155.0198974609375,182.3208465576172
2025-03-06,98.8499984741211,20.75,110.53976440429688,153.4464874267578,173.98048400878906
