Date,AAPL,AMZN,GOOGL,META,MSFT
2020-07-01,88.2990951538086,143.93499755859375,71.55931854248047,236.0945281982422,195.43251037597656
2020-07-02,88.2990951538086,144.51499938964844,72.94534301757812,231.9898223876953,196.921875
2020-07-06,90.66114044189453,152.8520050048828,74.42019653320312,238.8078155517578,201.16085815429688
2020-07-07,90.37982177734375,150.00599670410156,73.93734741210938,239.38427734375,198.82174682617188
2020-07-08,92.48479461669922,154.0554962158203,74.61621856689453,242.0876007080078,203.1943817138672
2020-07-09,92.88248443603516,159.13150024414062,75.36358642578125,243.00196838378906,204.61692810058594
2020-07-10,93.04495239257812,160.0,76.3734359741211,243.5684814453125,203.99636840820312
2020-07-13,92.61573028564453,155.1999969482422,75.04448699951172,237.53565979003906,197.69517517089844
2020-07-14,94.14837646484375,154.1999969482422,75.47274780273438,238.2611846923828,198.917236328125
2020-07-15,94.79588317871094,150.44349670410156,75.27523803710938,238.8078155517578,198.62124633789062
2020-07-16,93.6294174194336,149.9949951171875,75.17798614501953,239.45384216308594,194.68780517578125
2020-07-17,93.44023132324219,148.09849548339844,75.27373504638672,240.54710388183594,193.69491577148438
2020-07-20,95.40941619873047,159.8419952392578,77.60562896728516,243.91632080078125,202.0200653076172
2020-07-21,94.09258270263672,156.9145050048828,77.21260070800781,240.26881408691406,199.2991180419922
2020-07-22,94.35694122314453,154.99549865722656,77.65574645996094,238.4003143310547,202.16329956054688
2020-07-23,90.06214141845703,149.32749938964844,75.26879119873047,231.1748504638672,193.3702392578125
2020-07-24,89.83901977539062,150.44549560546875,74.84500122070312,229.29649353027344,192.18643188476562
2020-07-27,91.96822357177734,152.760498046875,75.89804077148438,232.06936645507812,194.6209259033203
2020-07-28,90.45742797851562,150.01649475097656,74.61870574951172,228.71006774902344,192.8738250732422
2020-07-29,92.19136047363281,151.67649841308594,75.604248046875,231.86062622070312,194.82144165039062
2020-07-30,93.306884765625,152.593994140625,76.3416976928711,233.063232421875,194.66868591308594
2020-07-31,103.07504272460938,158.23399353027344,73.83959197998047,252.11578369140625,195.72842407226562
2020-08-03,105.67227172851562,155.59449768066406,73.58203125,250.416259765625,206.73643493652344
2020-08-04,106.37799835205078,156.94149780273438,73.11258697509766,248.29931640625,203.63356018066406
2020-08-05,106.7635726928711,160.25149536132812,73.39991760253906,247.59364318847656,203.2994384765625
2020-08-06,110.48847961425781,161.25,74.6832046508789,263.6546325683594,206.55503845214844
2020-08-07,107.97643280029297,158.3730010986328,74.356689453125,266.7952575683594,202.8602294921875
2020-08-10,109.54584503173828,157.4080047607422,74.2797622680664,261.38861083984375,198.82174682617188
2020-08-11,106.2879638671875,154.0334930419922,73.47187042236328,254.5607147216797,194.17225646972656
2020-08-12,109.82038879394531,158.11199951171875,74.79684448242188,258.29766845703125,199.7191619873047
2020-08-13,111.76392364501953,158.05099487304688,75.26382446289062,259.6990051269531,199.2513885498047
2020-08-14,111.66431427001953,157.4010009765625,74.6673355102539,259.6393737792969,199.4423065185547
2020-08-17,111.37278747558594,159.12049865722656,75.24348449707031,259.55987548828125,200.7598419189453
2020-08-18,112.30084228515625,165.62449645996094,77.20565795898438,260.732666015625,201.91505432128906
2020-08-19,112.44174194335938,163.0240020751953,76.65133666992188,260.9811096191406,200.69007873535156
2020-08-20,114.93678283691406,164.86849975585938,78.22148132324219,267.36175537109375,205.36036682128906
2020-08-21,120.8597640991211,164.23599243164062,78.18775177001953,265.37408447265625,203.86744689941406
2020-08-24,122.3052749633789,165.3730010986328,78.66314697265625,269.7272033691406,204.50863647460938
2020-08-25,121.30188751220703,167.32449340820312,79.69038391113281,279.0994567871094,207.169189453125
2020-08-26,122.95149230957031,172.09249877929688,81.59001922607422,302.0479431152344,211.64810180664062
2020-08-27,121.48167419433594,170.0,80.81537628173828,291.4234619140625,216.84478759765625
2020-08-28,121.28489685058594,170.08999633789062,81.3567886352539,291.86077880859375,219.07470703125
2020-08-31,125.39794158935547,172.54800415039062,80.86550903320312,291.4035949707031,215.83987426757812
2020-09-01,130.39285278320312,174.95599365234375,82.1334228515625,293.6298828125,217.50515747070312
2020-09-02,127.69135284423828,176.57249450683594,85.22554779052734,300.6465759277344,221.6969451904297
2020-09-03,117.4682388305664,168.39999389648438,80.86450958251953,289.3363037109375,207.96353149414062
2020-09-04,117.54598999023438,164.7310028076172,78.46762084960938,280.9977722167969,205.04457092285156
2020-09-08,109.63574981689453,157.49200439453125,75.60872650146484,269.4986267089844,193.95257568359375
2020-09-09,114.00873565673828,163.4304962158203,76.78136444091797,272.04296875,202.21173095703125
2020-09-10,110.28683471679688,158.7554931640625,75.73030090332031,266.4474182128906,196.5460968017578
2020-09-11,108.83888244628906,155.81100463867188,75.21966552734375,264.9764709472656,195.26370239257812
2020-09-14,112.10404968261719,155.14849853515625,74.8757553100586,264.5192565917969,196.58436584472656
2020-09-15,112.27896881103516,157.80650329589844,76.18040466308594,270.75091552734375,199.8096160888672
2020-09-16,108.96521759033203,153.90499877929688,75.03753662109375,261.9053649902344,196.23983764648438
2020-09-17,107.22572326660156,150.43649291992188,73.79442596435547,253.2587432861328,194.19180297851562
2020-09-18,103.82451629638672,147.74549865722656,72.01040649414062,250.98275756835938,191.7800750732422
2020-09-21,106.97306060791016,148.02349853515625,70.97076416015625,246.6295928955078,193.8376922607422
2020-09-22,108.65423583984375,156.44949340820312,72.44363403320312,253.18917846679688,198.508056640625
2020-09-23,104.09664916992188,149.9929962158203,69.94105529785156,247.49427795410156,191.9714813232422
